Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,2nd phase - general,5,Multimedia Design,Daytime,Sec Ed - 12th,122.0,Portuguese,Basic 3rd cycle,Other 11th,Services/Sales,Unskilled workers,127.3,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,International,1,Tourism,Daytime,Sec Ed - 12th,160.0,Portuguese,Sec Ed - 12th,Degree,Technicians,Technicians,142.5,Yes,No,No,No,Male,No,19,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general,5,Comm Design,Daytime,Sec Ed - 12th,122.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,124.8,Yes,No,No,No,Male,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,2nd phase - general,2,Journalism,Daytime,Sec Ed - 12th,122.0,Portuguese,Basic 2nd cycle,Basic 1st cycle,Services/Sales,Technicians,119.6,Yes,No,No,Yes,Female,No,20,No,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
Married,Over 23 y/o,1,Social Service (evening),Evening,Sec Ed - 12th,100.0,Portuguese,Basic 1st cycle,Basic 2nd cycle,Unskilled workers,Unskilled workers,141.5,No,No,No,Yes,Female,No,45,No,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
Married,Over 23 y/o,1,Management (evening),Evening,Basic 3rd cycle,133.1,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Skilled workers,114.8,No,No,Yes,Yes,Male,No,50,No,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
Single,1st phase - general,1,Nursing,Daytime,Sec Ed - 12th,142.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Skilled workers,Military,128.4,Yes,No,No,Yes,Female,Yes,18,No,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
Single,3rd phase - general,4,Tourism,Daytime,Sec Ed - 12th,119.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,113.1,Yes,No,No,No,Male,No,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,1st phase - general,3,Social Service,Daytime,Sec Ed - 12th,137.0,Romanian,Sec Ed - 12th,Sec Ed - 12th,Unskilled workers,Unskilled workers,129.3,No,No,No,Yes,Female,Yes,21,Yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general,1,Social Service,Daytime,Sec Ed - 12th,138.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Admin staff,Skilled workers,123.0,Yes,No,Yes,No,Female,No,18,No,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
Single,1st phase - general,1,Marketing Mgmt,Daytime,Sec Ed - 12th,139.0,Portuguese,Basic 2nd cycle,Basic 3rd cycle,Services/Sales,Skilled workers,130.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general,1,Nursing,Daytime,Sec Ed - 12th,136.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Unskilled workers,Unskilled workers,119.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general,2,Basic Education,Daytime,Sec Ed - 12th,133.0,Portuguese,Basic 3rd cycle,Basic 1st cycle,Admin staff,Unskilled workers,130.2,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Short cycle diploma,1,Tourism,Daytime,Prof higher tech,110.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Admin staff,Skilled workers,111.8,Yes,No,No,Yes,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
Single,1st phase - general,1,Vet Nursing,Daytime,Sec Ed - 12th,149.0,Portuguese,Basic 2nd cycle,Basic 1st cycle,Services/Sales,Services/Sales,137.1,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
Single,1st phase - general,1,Journalism,Daytime,Sec Ed - 12th,127.0,Portuguese,Basic 3rd cycle,Basic 1st cycle,Unskilled workers,Technicians,120.7,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,3rd phase - general,1,Social Service,Daytime,Sec Ed - 12th,137.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Services/Sales,Machine operators,137.4,Yes,No,No,Yes,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase - general,2,Nursing,Daytime,Sec Ed - 12th,135.0,Portuguese,Basic 3rd cycle,Sec Ed - 12th,Services/Sales,Admin staff,127.3,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general,1,Equinculture,Daytime,Sec Ed - 12th,137.0,Portuguese,Degree,Basic 3rd cycle,Technicians,Services/Sales,136.3,Yes,No,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
